sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,image_label,small_image_label,thumbnail_label,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,tax_class_id,gift_message_available,watch_brand,bransom_code,jewellery_type,designer,gender,metal,gemstone,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
4801031,,Jewellery,simple,,Default Category,base,ASXAS ROSE MEDIUM MESH 19cm,,,90.00,,,,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB411-R,*ADJUST ME*,,Female,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801146,,Jewellery,simple,,Default Category,base,ASXAS PLAITED FLAT YEL BANGLE,,,105.00,,,,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/13,,,,,,,,,NTB642Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801040,,Jewellery,simple,,Default Category,base,ASXAS COTTON & SILVER BLACK,,,110.00,,,,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/11,,,,,,,,,NTB5001BL,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801041,,Jewellery,simple,,Default Category,base,ASXAS COTTON & SILVER WHITE,,,110.00,,,,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/11,,,,,,,,,NTB5001W,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801070,,Jewellery,simple,,Default Category,base,ASXAS TORQUE BANGLE,,,112.00,,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/12,,,,,,,,,NTB535S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801071,,Jewellery,simple,,Default Category,base,ASXAS TORQUE BANGLE,,,112.00,,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/12,,,,,,,,,NTB535R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801194,,Jewellery,simple,,Default Category,base,ASXAS FINE MESH BANGLE R/S/Y,,,120.00,,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,NTB728-MIX,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801016,,Jewellery,simple,,Default Category,base,ASXAS LARGE BROWN MESH,,,130.00,,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB412BR,*ADJUST ME*,,Female,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801018,,Jewellery,simple,,Default Category,base,ASXAS LARGE B\'LET YELLOW,,,130.00,,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB412Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801046,,Jewellery,simple,,Default Category,base,ASXAS MINI NECK,,,130.00,,,,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/12,,,,,,,,,NTN410Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801212,,Jewellery,simple,,Default Category,base,ASXAS FILIGREE ROUND B\'LET SLVR,,,135.00,,,,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,NTB804-S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801065,,Jewellery,simple,,Default Category,base,ASXAS CZ CLASP GOLD,,,140.00,,,,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/12,,,,,,,,,NTB436Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801170,,Jewellery,simple,,Default Category,base,ASXAS PYRAMID FLAT WIDE BLT SLV,,,149.00,,,,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/13,,,,,,,,,NTB681S,*ADJUST ME*,,Female,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
